salt-lake,takyr
dry-salt-lake,takyr
"dry salt lake",takyr
"salt lake",takyr
"nice place",arisk
"happy place",arisk
nice-place,arisk
happy-place,arisk
my,ma
terrible,terrid
soul,katra
moon,luna
sun,solus
region,oblast
area,oblast
in,int
zet,let
fuck,frak
hillside,hillysk
rubicon,rubykon
of,ok
shall,zell
find,fint
lord,lordos
attack,azak
stupid,maf
is,ist
akus,axos
hillsider,hillysk
live,zit
lives,zita
music,muzik
water,dwr
ice,cwr
island,ostrov
islands,ostrova
peninsula,poluostrov
peninsulas,poluostrova
blue,glas
sea,ata
river,t'ata
computer,komit
computers,komita
north,nort
south,sout
else,elos
zero,0
one,1
two,2
three,3
four,4
five,5
six,6
seven,7
eight,8
nine,9
ten,10
eleven,11
twelve,12
thirteen,13
fourteen,14
fifteen,15
sixteen,16
seventeen,17
eighteen,18
nineteen,19
twenty,20
thirty,30
fourty,40
fifty,50
sixty,60
seventy,70
eighty,80
ninety,90
one-hundred,100
lake,ozero
archipelago,archipelag
home,dom
blue,glas
red,goch
rock,garreg
news,rekon
